Articolo 0, Fonte: Il Fatto Quotidiano, Link: https://www.ilfattoquotidiano.it/2021/01/21/prova-estrema-su-tiktok-bambina-di-10-anni-in-coma-a-palermo-dichiarata-la-morte-cerebrale-inchiesta-per-istigazione-al-suicidio/6074009/
Articolo 70, Fonte: Repubblica, Link: https://napoli.repubblica.it/cronaca/2021/02/02/news/paura_ad_amalfi_frana_il_costone_di_vagliendola-285568936/?ref=RHTP-BH-I285540712-P1-S7-T13
Articolo 71, Fonte: Repubblica, Link: https://napoli.repubblica.it/cronaca/2021/02/02/news/paura_ad_amalfi_frana_il_costone_di_vagliendola-285568936/?ref=RHTP-BH-I285540712-P1-S7-T14
Articolo 72, Fonte: Repubblica, Link: https://napoli.repubblica.it/cronaca/2021/02/02/news/paura_ad_amalfi_frana_il_costone_di_vagliendola-285568936/?ref=RHTP-BH-I285540712-P1-S7-T15
Articolo 73, Fonte: Repubblica, Link: https://napoli.repubblica.it/cronaca/2021/02/02/news/paura_ad_amalfi_frana_il_costone_di_vagliendola-285568936/?ref=RHTP-BH-I285540712-P1-S7-T16
Articolo 74, Fonte: Repubblica, Link: https://napoli.repubblica.it/cronaca/2021/02/02/news/paura_ad_amalfi_frana_il_costone_di_vagliendola-285568936/?ref=RHTP-BH-I285540712-P1-S7-T17
Articolo 75, Fonte: Repubblica, Link: https://napoli.repubblica.it/cronaca/2021/02/02/news/paura_ad_amalfi_frana_il_costone_di_vagliendola-285568936/?ref=RHTP-BH-I285540712-P1-S7-T18
Articolo 76, Fonte: Repubblica, Link: https://napoli.repubblica.it/cronaca/2021/02/02/news/paura_ad_amalfi_frana_il_costone_di_vagliendola-285568936/?ref=RHTP-BH-I285540712-P1-S7-T19
Articolo 77, Fonte: Repubblica, Link: https://napoli.repubblica.it/cronaca/2021/02/02/news/paura_ad_amalfi_frana_il_costone_di_vagliendola-285568936/?ref=RHTP-BH-I285540712-P1-S7-T20
Articolo 78, Fonte: Repubblica, Link: https://napoli.repubblica.it/cronaca/2021/02/02/news/paura_ad_amalfi_frana_il_costone_di_vagliendola-285568936/?ref=RHTP-BH-I285540712-P1-S7-T21
Articolo 79, Fonte: Repubblica, Link: https://milano.repubblica.it/cronaca/2021/02/02/news/raccolta_fondi_bambina_genitori_caduti_dirupo_valeria_coletta_fabrizio_marchi-285581908/
Articolo 80, Fonte: Repubblica, Link: https://milano.repubblica.it/cronaca/2021/02/02/news/vaccini_l_assessora_moratti_dal_24_febbraio_somministrazione_agli_over_80_-285583089/
Articolo 81, Fonte: Repubblica, Link: https://milano.repubblica.it/cronaca/2021/02/02/news/una_pista_di_ghiaccio_all_arena_cosi_milano_fa_le_prove_per_le_gare_olimpiche_di_pattinaggio-285576944/
Articolo 82, Fonte: Repubblica, Link: https://milano.repubblica.it/cronaca/2021/02/02/news/codogno_restaurato_il_murale_con_la_wonder_woman_anti-covid_i_vandali_non_hanno_vinto_-285570989/
Articolo 83, Fonte: Repubblica, Link: https://milano.repubblica.it/cronaca/2021/02/02/news/saronno_fuga_in_auto_tra_la_folla_pusher_arrestati_grazie_ai_video_dei_passanti-285551818/
Articolo 84, Fonte: Repubblica, Link: https://milano.repubblica.it/cronaca/2021/02/01/news/coronavirus_cane_billy_aspetta_padrone_ricoverato_dorno_pavia-285408886/
Articolo 85, Fonte: Il Fatto, Link: https://www.ilfattoquotidiano.it/2021/02/02/tassista-spara-in-aria-poi-punta-la-pistola-contro-padre-e-figlia-su-un-balcone-ma-larma-si-inceppa-arrestato-dalla-polizia/6087034/
Articolo 86, Fonte: Il Fatto, Link: https://www.ilfattoquotidiano.it/2021/02/01/aiuto-papa-sta-picchiando-la-mamma-bambino-di-10-anni-telefona-ai-carabinieri-e-fa-arrestare-il-padre/6086687/
Articolo 87, Fonte: Il Fatto, Link: https://www.ilfattoquotidiano.it/2021/02/01/covid-200-ragazzi-accalcati-dentro-un-locale-di-bolzano-senza-mascherina-multati-in-155/6086306/
Articolo 88, Fonte: Il Fatto, Link: https://www.ilfattoquotidiano.it/2021/02/01/ciaspolata-bloccata-nelle-marche-il-governo-lo-consente-ma-i-partecipanti-non-mostrano-lautocertificazione-ai-vigili-temendo-la-multa/6085662/
Articolo 89, Fonte: Il Fatto, Link: https://www.ilfattoquotidiano.it/2021/02/01/maltempo-nel-salernitano-esonda-il-fiume-sarno-30-famiglie-evacuate-le-immagini-aeree/6085545/
Articolo 90, Fonte: Il Fatto, Link: https://www.ilfattoquotidiano.it/2021/02/01/saluti-romani-al-funerale-del-padre-del-sindaco-di-pietrasanta-e-luomo-di-fratelli-ditalia-che-corse-alle-regionali-fa-il-rito-del-presente/6086065/
Articolo 91, Fonte: Il Fatto, Link: https://www.ilfattoquotidiano.it/2021/01/31/ischia-si-sposano-e-festeggiano-al-ristorante-con-gli-invitati-tutti-multati-dai-carabinieri/6084740/
Articolo 92, Fonte: Il Fatto, Link: https://www.ilfattoquotidiano.it/2021/01/30/la-ricatta-dopo-aver-ricevuto-le-sue-foto-intime-arrestato-un-uomo-di-41-anni-a-bergamo-per-tentata-violenza-sessuale-ed-estorsione/6084260/
Articolo 93, Fonte: Esse notizie, Link: https://www.essenotizie.it/2021/02/furto-in-impianto-fotovoltaico-sventato-da-un-vigilante.html
Articolo 94, Fonte: Esse notizie, Link: https://www.essenotizie.it/2021/01/oss-precari-la-lettera-dei-sindaci-della-provincia-di-brindisi.html
Articolo 95, Fonte: Esse notizie, Link: https://www.essenotizie.it/2021/01/corruzione-atti-giudiziari-brindisi-macina-m5s-quadro-inquietante-liberare-la-giustizia-da-mele-marce.html
Articolo 96, Fonte: Esse notizie, Link: https://www.essenotizie.it/2021/01/crollo-solaio-a-san-michele-quattro-persone-indagate.html
Articolo 97, Fonte: Esse notizie, Link: https://www.essenotizie.it/2021/01/e-venuto-a-mancare-mario-brugnerotto-grande-calciatore-di-successo.html
Articolo 98, Fonte: Esse notizie, Link: https://www.essenotizie.it/2021/01/la-polizia-locale-ha-una-nuova-comandante-e-anna-lucia-matarrelli.html
Articolo 99, Fonte: Esse notizie, Link: https://www.essenotizie.it/2021/01/il-caffe-gallo-un-luogo-da-salvare.html
Articolo 100, Fonte: ilpost, Link: https://www.ilpost.it/2021/02/02/rochester-bambina-afroamericana-arresto-spray-urticante/
Articolo 101, Fonte: ilpost, Link: https://www.ilpost.it/2021/02/01/navalny-chiesti-tre-anni-carcere/
Articolo 102, Fonte: ilpost, Link: https://www.ilpost.it/2021/02/01/papa-commissione-europea/
Articolo 103, Fonte: ilpost, Link: https://www.ilpost.it/2021/02/01/bruxelles-belgio-proteste-restrizioni-coronavirus-arresti/
Articolo 104, Fonte: ilpost, Link: https://www.ilpost.it/2021/02/01/israele-fornisce-dosi-vaccino-coronavirus-palestina/
Articolo 105, Fonte: ilpost, Link: https://www.ilpost.it/2021/02/01/myanmar-colpo-di-stato-aung-san-suu-kyi-arrestata/
Articolo 106, Fonte: ilpost, Link: https://www.ilpost.it/2021/01/31/primi-giorni-biden/
Articolo 107, Fonte: ilpost, Link: https://www.ilpost.it/2021/02/02/arrestato-angelo-gallea-omicidio-giudice-rosario-livatino/
Articolo 108, Fonte: ilpost, Link: https://www.ilpost.it/2021/02/01/le-iene-luigi-pelazza-condannato-servizio-guia-soncini/
Articolo 109, Fonte: Il Foglio, Link: https://www.ilfoglio.it/politica/2021/02/02/news/italia-viva-boccia-il-lodo-orlando-sulla-prescrizione-1780907/
Articolo 110, Fonte: Il Foglio, Link: https://www.ilfoglio.it/economia/2021/02/02/news/liquidita-bonus-e-social-ecco-cosa-gonfia-la-finanza-di-robinhood-1778908/
Articolo 111, Fonte: Il Foglio, Link: https://www.ilfoglio.it/politica/2021/02/02/video/giustizia-battelli-m5s-lodo-orlando-su-prescrizione-meglio-il-lodo-conte--1781757/
Articolo 112, Fonte: Il Foglio, Link: https://www.ilfoglio.it/politica/2021/02/01/news/renzi-cerca-discontinuita-reale-sul-conte-ter-ma-con-draghi-faremmo-un-servizio-al-paese--1779035/
Articolo 113, Fonte: Il Foglio, Link: https://www.ilfoglio.it/politica/2021/02/02/video/ora-la-maggioranza-litiga-sulla-giustizia-grasso-bonafede-si-parla-di-temi-non-di-nomi--1781273/
Articolo 114, Fonte: Il Foglio, Link: https://www.ilfoglio.it/chiesa/2021/01/30/news/la-crociata-americana-1767623/
Articolo 115, Fonte: Avanti, Link: http://www.avantionline.it/bomba-sociale-2/
Articolo 116, Fonte: Avanti, Link: http://www.avantionline.it/bihac-i-campi-della-vergogna-lo-scaricabarile-che-non-salva-nessuno/
Articolo 117, Fonte: Avanti, Link: http://www.avantionline.it/le-verita-scomode-dellera-craxi-la-verita-che-va-oltre-la-cronaca/
Articolo 118, Fonte: Avanti, Link: http://www.avantionline.it/libia-ancora-nulla-di-fatto-dopo-laccordo/
Articolo 119, Fonte: Avanti, Link: http://www.avantionline.it/qui-dove-nascono-le-fake-news/
Articolo 120, Fonte: Avanti, Link: http://www.avantionline.it/confindustria-boccia-il-recovery-plan/
Articolo 121, Fonte: Avanti, Link: http://www.avantionline.it/il-giorno-dopo/
Articolo 122, Fonte: ANSA, Link: https://www.ansa.it/canale_saluteebenessere/notizie/sanita/2021/02/07/speranza-massima-prudenza-la-zona-gialla-non-e-scampato-pericolo_738d5963-6d0c-4b29-a5ff-198ec7135be7.html
Articolo 123, Fonte: Avvenire, Link: https://www.avvenire.it/attualita/pagine/covid-vaccini-italia-contagi-2-2
Articolo 124, Fonte: Avvenire, Link: https://www.avvenire.it/attualita/pagine/covid-vaccini-italia-contagi-2-3
Articolo 125, Fonte: Avvenire, Link: https://www.avvenire.it/attualita/pagine/covid-vaccini-italia-contagi-2-4
Articolo 126, Fonte: Avvenire, Link: https://www.avvenire.it/attualita/pagine/covid-vaccini-italia-contagi-2-5
Articolo 127, Fonte: Avvenire, Link: https://www.avvenire.it/attualita/pagine/covid-vaccini-italia-contagi-2-6
Articolo 128, Fonte: Avvenire, Link: https://www.avvenire.it/attualita/pagine/covid-vaccini-italia-contagi-2-7
Articolo 129, Fonte: Avvenire, Link: https://www.avvenire.it/attualita/pagine/covid-vaccini-italia-contagi-2-8
Articolo 130, Fonte: Avvenire, Link: https://www.avvenire.it/attualita/pagine/covid-vaccini-italia-contagi-2-9
Articolo 131, Fonte: Avvenire, Link: https://www.avvenire.it/attualita/pagine/covid-vaccini-italia-contagi-2-10
Articolo 132, Fonte: Avvenire, Link: https://www.avvenire.it/attualita/pagine/covid-vaccini-italia-contagi-2-11
Articolo 133, Fonte: Avvenire, Link: https://www.avvenire.it/attualita/pagine/covid-vaccini-italia-contagi-2-12
Articolo 134, Fonte: Avvenire, Link: https://www.avvenire.it/attualita/pagine/covid-vaccini-italia-contagi-2-13
Articolo 135, Fonte: Avvenire, Link: https://www.avvenire.it/attualita/pagine/covid-vaccini-italia-contagi-2-14
Articolo 136, Fonte: Avvenire, Link: https://www.avvenire.it/attualita/pagine/covid-vaccini-italia-contagi-2-15
Articolo 137, Fonte: Avvenire, Link: https://www.avvenire.it/attualita/pagine/covid-vaccini-italia-contagi-2-16
Articolo 138, Fonte: Avvenire, Link: https://www.avvenire.it/attualita/pagine/covid-vaccini-italia-contagi-2-17
Articolo 139, Fonte: Avvenire, Link: https://www.avvenire.it/attualita/pagine/covid-vaccini-italia-contagi-2-18
Articolo 140, Fonte: Avvenire, Link: https://www.avvenire.it/attualita/pagine/covid-vaccini-italia-contagi-2-19
Articolo 141, Fonte: Avvenire, Link: https://www.avvenire.it/attualita/pagine/covid-vaccini-italia-contagi-2-20
Articolo 142, Fonte: Avvenire, Link: https://www.avvenire.it/attualita/pagine/covid-vaccini-italia-contagi-2-21
Articolo 143, Fonte: Avvenire, Link: https://www.avvenire.it/attualita/pagine/covid-vaccini-italia-contagi-2-22
Articolo 144, Fonte: Avvenire, Link: https://www.avvenire.it/attualita/pagine/covid-vaccini-italia-contagi-2-23
Articolo 145, Fonte: Avvenire, Link: https://www.avvenire.it/attualita/pagine/covid-vaccini-italia-contagi-2-24
Articolo 146, Fonte: Avvenire, Link: https://www.avvenire.it/attualita/pagine/covid-vaccini-italia-contagi-2-25
Articolo 147, Fonte: Avvenire, Link: https://www.avvenire.it/attualita/pagine/covid-vaccini-italia-contagi-2-26
Articolo 148, Fonte: Avvenire, Link: https://www.avvenire.it/attualita/pagine/covid-vaccini-italia-contagi-2-27
Articolo 149, Fonte: Avvenire, Link: https://www.avvenire.it/attualita/pagine/covid-vaccini-italia-contagi-2-28
Articolo 150, Fonte: Avvenire, Link: https://www.avvenire.it/attualita/pagine/covid-vaccini-italia-contagi-2-29
Articolo 151, Fonte: Avvenire, Link: https://www.avvenire.it/attualita/pagine/covid-vaccini-italia-contagi-2-30
Articolo 152, Fonte: Avvenire, Link: https://www.avvenire.it/attualita/pagine/covid-vaccini-italia-contagi-2-31
Articolo 153, Fonte: Avvenire, Link: https://www.avvenire.it/attualita/pagine/covid-vaccini-italia-contagi-2-32
Articolo 154, Fonte: Avvenire, Link: https://www.avvenire.it/attualita/pagine/covid-vaccini-italia-contagi-2-33
Articolo 155, Fonte: Avvenire, Link: https://www.avvenire.it/attualita/pagine/covid-vaccini-italia-contagi-2-34
Articolo 156, Fonte: FascInAzione, Link: http://www.fascinazione.info/2021/01/giornata-della-memoria-i-tre.html
Articolo 157, Fonte: Unità, Link: http://www.fascinazione.info/2021/01/31-gennaio-1977-fallisce-levasione-di.html
Articolo 158, Fonte: Avvenire, Link: https://www.avvenire.it/attualita/pagine/draghi-e-i-tatticismi-nome-da-proteggere
Articolo 159, Fonte: Avvenire, Link: https://www.avvenire.it/attualita/pagine/pillola-ru486-anche-il-lazio-ora-strappa 
Articolo 160, Fonte: ANSA, Link: https://www.ansa.it/sito/notizie/politica/2021/02/07/zingaretti-pd-unito-sul-sostegno-a-draghi-con-le-nostre-idee_94b4309d-b3e6-4fec-9757-63a474e6d99d.html
Articolo 161, Fonte: ANSA, Link: https://www.ansa.it/sicilia/notizie/2021/02/07/donna-uccisa-in-casa-a-palermomarito-ascoltato-da-cc_946adf2a-737e-4a05-8d29-9c9ca1030958.html
Articolo 162, Fonte: FascInAzione, Link: http://www.fascinazione.info/2021/01/blitz-antisuprematista-arrestato-savona.html
Articolo 163, Fonte: FascInAzione, Link: http://www.fascinazione.info/2021/01/attacco-nazi-hacker-alla-presentazione.html
Articolo 164, Fonte: Avvenire, Link: https://www.avvenire.it/attualita/pagine/k2-tamara-lunger-rientra-in-italia
Articolo 165, Fonte: Avvenire, Link: https://www.avvenire.it/economia/pagine/lenstore-professioni-sanitarie-donne
Articolo 166, Fonte: Avvenire, Link: https://www.avvenire.it/attualita/pagine/stop-spostamenti-regioni
Articolo 167, Fonte: ANSA, Link: https://www.ansa.it/sito/notizie/mondo/2021/02/02/impeachment-trump-accusato-di-alto-tradimento-la-sua-responsabilita-inequivocabile_6ebed08c-a6b1-4f75-a2c8-0936268e8b63.html
Articolo 168, Fonte: FascInAzione, Link: http://www.fascinazione.info/2021/01/i-cospirazionisti-di-qanon-alla-testa.html
Articolo 169, Fonte: FascInAzione, Link: http://www.fascinazione.info/2021/01/pasta-dal-sapore-littorio-e-dal-gusto.html
Articolo 170, Fonte: ANSA, Link: https://www.ansa.it/sito/notizie/cultura/musica/2021/02/02/marilyn-manson-mollato-da-etichetta-discografica_072d09df-0f54-4775-938e-c8c762ffadea.html
