ID_ARTICOLO,ID_FRASE,FRASE,TAG_FRASE,TAG_ARTICOLO,FONTE,LINK
2,10,"Anzi, una strepitosa fortuna.",SOG,SOG,Libero,https://www.liberoquotidiano.it/news/personaggi/25658403/olivia-paladino-ecco-quanti-milioni-euro-ha-solo-in-immobili-cifre-sconcertanti.html
20,0,Matteo Salvini si appella a Sergio Mattarella:,OGG,OGG,Libero,https://www.liberoquotidiano.it/news/politica/26074953/quarta-repubblica-matteo-salvini-sergio-mattarella-altri-giorni-commenterei-educato.html
20,1,Se concede altri giorni non commenterei in modo educato,SOG,OGG,Libero,https://www.liberoquotidiano.it/news/politica/26074953/quarta-repubblica-matteo-salvini-sergio-mattarella-altri-giorni-commenterei-educato.html
20,2,Il cronoprogramma per porre fine alla crisi di governo sembra sempre più un miraggio.,SOG,OGG,Libero,https://www.liberoquotidiano.it/news/politica/26074953/quarta-repubblica-matteo-salvini-sergio-mattarella-altri-giorni-commenterei-educato.html
20,3,"La riunione tra M5s, Pd e Italia Viva di ieri, primo febbraio, è finita nel peggiore dei modi: con un nulla di fatto.",SOG,OGG,Libero,https://www.liberoquotidiano.it/news/politica/26074953/quarta-repubblica-matteo-salvini-sergio-mattarella-altri-giorni-commenterei-educato.html
20,4,Peccato però che i tempi stringano.,SOG,OGG,Libero,https://www.liberoquotidiano.it/news/politica/26074953/quarta-repubblica-matteo-salvini-sergio-mattarella-altri-giorni-commenterei-educato.html
20,5,E Roberto Fico in merito è stato chiaro: entro martedì chiudiamo tutto.,OGG,OGG,Libero,https://www.liberoquotidiano.it/news/politica/26074953/quarta-repubblica-matteo-salvini-sergio-mattarella-altri-giorni-commenterei-educato.html
20,6,Sicuro?,OGG,OGG,Libero,https://www.liberoquotidiano.it/news/politica/26074953/quarta-repubblica-matteo-salvini-sergio-mattarella-altri-giorni-commenterei-educato.html
20,7,Una cosa è certa.,SOG,OGG,Libero,https://www.liberoquotidiano.it/news/politica/26074953/quarta-repubblica-matteo-salvini-sergio-mattarella-altri-giorni-commenterei-educato.html
20,8,Per Matteo Salvini oltre non si può andare.,OGG,OGG,Libero,https://www.liberoquotidiano.it/news/politica/26074953/quarta-repubblica-matteo-salvini-sergio-mattarella-altri-giorni-commenterei-educato.html
20,9,Proprio da lui arriva a tarda notte l'appello a Sergio Mattarella:,OGG,OGG,Libero,https://www.liberoquotidiano.it/news/politica/26074953/quarta-repubblica-matteo-salvini-sergio-mattarella-altri-giorni-commenterei-educato.html
20,10,"Lui è il garante dell'unità di questo Paese: non permetta che passino altri giorni, altre ore perse.",SOG,OGG,Libero,https://www.liberoquotidiano.it/news/politica/26074953/quarta-repubblica-matteo-salvini-sergio-mattarella-altri-giorni-commenterei-educato.html
20,11,"Se Colle concedesse altri giorni non commenterei in modo educato, perché ogni giornata persa è un'azienda che chiude.",SOG,OGG,Libero,https://www.liberoquotidiano.it/news/politica/26074953/quarta-repubblica-matteo-salvini-sergio-mattarella-altri-giorni-commenterei-educato.html
20,12,"Se hanno i numeri domani, vengano in Parlamento e lavoriamo, altrimenti a casa, basta ed entro Pasqua c'è un nuovo Parlamento,",SOG,OGG,Libero,https://www.liberoquotidiano.it/news/politica/26074953/quarta-repubblica-matteo-salvini-sergio-mattarella-altri-giorni-commenterei-educato.html
20,13,sono le parole pronunciate dal leader della Lega a Quarta Repubblica su Rete 4.,OGG,OGG,Libero,https://www.liberoquotidiano.it/news/politica/26074953/quarta-repubblica-matteo-salvini-sergio-mattarella-altri-giorni-commenterei-educato.html
20,14,Per il Carroccio in ogni caso,OGG,OGG,Libero,https://www.liberoquotidiano.it/news/politica/26074953/quarta-repubblica-matteo-salvini-sergio-mattarella-altri-giorni-commenterei-educato.html
20,15,"la via maestra, naturale, dignitosa, è impegnare due mesi per il voto per non rompere le scatole agli italiani nei prossimi cinque anni.",SOG,OGG,Libero,https://www.liberoquotidiano.it/news/politica/26074953/quarta-repubblica-matteo-salvini-sergio-mattarella-altri-giorni-commenterei-educato.html
20,16,"E comunque,",SOG,OGG,Libero,https://www.liberoquotidiano.it/news/politica/26074953/quarta-repubblica-matteo-salvini-sergio-mattarella-altri-giorni-commenterei-educato.html
20,17,"se trovano i numeri, Conte e Renzi perdono la faccia evidentemente.",OGG,OGG,Libero,https://www.liberoquotidiano.it/news/politica/26074953/quarta-repubblica-matteo-salvini-sergio-mattarella-altri-giorni-commenterei-educato.html
20,18,Un ragionamento che va di pari passo con quello dell'alleata Giorgia Meloni.,SOG,OGG,Libero,https://www.liberoquotidiano.it/news/politica/26074953/quarta-repubblica-matteo-salvini-sergio-mattarella-altri-giorni-commenterei-educato.html
20,19,"Anche lei, leader di Fratelli d'Italia, di fronte all'ennesima lite tra i partiti di maggioranza non ha lesinato critiche.",OGG,OGG,Libero,https://www.liberoquotidiano.it/news/politica/26074953/quarta-repubblica-matteo-salvini-sergio-mattarella-altri-giorni-commenterei-educato.html
20,20,"Mi pare che il centrodestra sia rimasto compatto, al di là di quello che annunciavano gli osservatori.",OGG,OGG,Libero,https://www.liberoquotidiano.it/news/politica/26074953/quarta-repubblica-matteo-salvini-sergio-mattarella-altri-giorni-commenterei-educato.html
20,21,"Per noi il modo più responsabile di risolvere la crisi è sciogliere le Camere e tornare al voto, qualsiasi governo nascesse in questa legislatura avrebbe gli stessi problemi: partiti che stanno insieme più per paura delle elezioni che per portare avanti una visione comune.",SOG,OGG,Libero,https://www.liberoquotidiano.it/news/politica/26074953/quarta-repubblica-matteo-salvini-sergio-mattarella-altri-giorni-commenterei-educato.html
20,22,"Non solo, secondo quanto ha confessato la stessa Meloni anche il presidente della Repubblica non avrebbe escluso le elezioni",OGG,OGG,Libero,https://www.liberoquotidiano.it/news/politica/26074953/quarta-repubblica-matteo-salvini-sergio-mattarella-altri-giorni-commenterei-educato.html
20,23,"Almeno questo è quello che avrebbe riferito a Lega, FdI e Fratelli d'Italia nei colloqui per le consultazioni.",OGG,OGG,Libero,https://www.liberoquotidiano.it/news/politica/26074953/quarta-repubblica-matteo-salvini-sergio-mattarella-altri-giorni-commenterei-educato.html
21,0,Guido Bertolaso al posto di Domenico Arcuri:,OGG,SOG,Libero,https://www.liberoquotidiano.it/news/personaggi/26075319/guido-bertolaso-sostituto-domenico-arcuri-piano-vaccini-governo-idea-walter-ricciardi.html
21,1,È lui l'uomo giusto.,SOG,SOG,Libero,https://www.liberoquotidiano.it/news/personaggi/26075319/guido-bertolaso-sostituto-domenico-arcuri-piano-vaccini-governo-idea-walter-ricciardi.html
21,2,"Vaccini, pazzesco cambio in corsa?",SOG,SOG,Libero,https://www.liberoquotidiano.it/news/personaggi/26075319/guido-bertolaso-sostituto-domenico-arcuri-piano-vaccini-governo-idea-walter-ricciardi.html
21,3,Ora tutti lo cercano.,OGG,SOG,Libero,https://www.liberoquotidiano.it/news/personaggi/26075319/guido-bertolaso-sostituto-domenico-arcuri-piano-vaccini-governo-idea-walter-ricciardi.html
21,4,"Guido Bertolaso, dopo le critiche per l'ospedale di Milano costruito in men che non si dica e senza gravare sulle tasche pubbliche, si prende la sua vendetta.",SOG,SOG,Libero,https://www.liberoquotidiano.it/news/personaggi/26075319/guido-bertolaso-sostituto-domenico-arcuri-piano-vaccini-governo-idea-walter-ricciardi.html
21,5,È lui il supercommissario inseguito da tutti.,OGG,SOG,Libero,https://www.liberoquotidiano.it/news/personaggi/26075319/guido-bertolaso-sostituto-domenico-arcuri-piano-vaccini-governo-idea-walter-ricciardi.html
21,6,Anche dal consulente più impensabile: Walter Riccardi.,SOG,SOG,Libero,https://www.liberoquotidiano.it/news/personaggi/26075319/guido-bertolaso-sostituto-domenico-arcuri-piano-vaccini-governo-idea-walter-ricciardi.html
21,7,"Braccio destro del ministro Roberto Speranza, l'esperto ingaggia proprio Bertolaso per l'ultima impresa impossibile: raddrizzare il piano vaccini per lanciarlo finalmente verso la campagna di popolo.",SOG,SOG,Libero,https://www.liberoquotidiano.it/news/personaggi/26075319/guido-bertolaso-sostituto-domenico-arcuri-piano-vaccini-governo-idea-walter-ricciardi.html
21,8,Penso a una figura che abbia competenze tecnico scientifiche e gestionali.,SOG,SOG,Libero,https://www.liberoquotidiano.it/news/personaggi/26075319/guido-bertolaso-sostituto-domenico-arcuri-piano-vaccini-governo-idea-walter-ricciardi.html
21,9,Serve uno come Bertolaso.,SOG,SOG,Libero,https://www.liberoquotidiano.it/news/personaggi/26075319/guido-bertolaso-sostituto-domenico-arcuri-piano-vaccini-governo-idea-walter-ricciardi.html
21,10,"È un medico, ha lavorato negli scenari più difficili.",OGG,SOG,Libero,https://www.liberoquotidiano.it/news/personaggi/26075319/guido-bertolaso-sostituto-domenico-arcuri-piano-vaccini-governo-idea-walter-ricciardi.html
21,11,"Se dovessi fare un nome, farei il suo",SOG,SOG,Libero,https://www.liberoquotidiano.it/news/personaggi/26075319/guido-bertolaso-sostituto-domenico-arcuri-piano-vaccini-governo-idea-walter-ricciardi.html
21,12,ha detto al Giorno Ricciardi mentre chiedeva al prossimo governo un salto di qualità.,OGG,SOG,Libero,https://www.liberoquotidiano.it/news/personaggi/26075319/guido-bertolaso-sostituto-domenico-arcuri-piano-vaccini-governo-idea-walter-ricciardi.html
21,13,"In sostanza fuori Domenico Arcuri, dentro l'ex capo della Protezione civile.",OGG,SOG,Libero,https://www.liberoquotidiano.it/news/personaggi/26075319/guido-bertolaso-sostituto-domenico-arcuri-piano-vaccini-governo-idea-walter-ricciardi.html
21,14,ha però premesso il consulente del ministro della Salute,OGG,SOG,Libero,https://www.liberoquotidiano.it/news/personaggi/26075319/guido-bertolaso-sostituto-domenico-arcuri-piano-vaccini-governo-idea-walter-ricciardi.html
21,15,Questa non è una critica al commissario.,SOG,SOG,Libero,https://www.liberoquotidiano.it/news/personaggi/26075319/guido-bertolaso-sostituto-domenico-arcuri-piano-vaccini-governo-idea-walter-ricciardi.html
21,16,Ma chiaramente il prossimo governo dovrà prendere subito in mano la situazione.,SOG,SOG,Libero,https://www.liberoquotidiano.it/news/personaggi/26075319/guido-bertolaso-sostituto-domenico-arcuri-piano-vaccini-governo-idea-walter-ricciardi.html
21,17,Altrimenti c'è il rischio di non riuscire a vaccinare milioni di italiani.,SOG,SOG,Libero,https://www.liberoquotidiano.it/news/personaggi/26075319/guido-bertolaso-sostituto-domenico-arcuri-piano-vaccini-governo-idea-walter-ricciardi.html
21,18,"La scelta spetta al governo,",OGG,SOG,Libero,https://www.liberoquotidiano.it/news/personaggi/26075319/guido-bertolaso-sostituto-domenico-arcuri-piano-vaccini-governo-idea-walter-ricciardi.html
21,19,io sono solo il consigliere del ministro della Salute.,SOG,SOG,Libero,https://www.liberoquotidiano.it/news/personaggi/26075319/guido-bertolaso-sostituto-domenico-arcuri-piano-vaccini-governo-idea-walter-ricciardi.html
21,20,ha comunque messo le mani avanti,SOG,SOG,Libero,https://www.liberoquotidiano.it/news/personaggi/26075319/guido-bertolaso-sostituto-domenico-arcuri-piano-vaccini-governo-idea-walter-ricciardi.html
21,21,Alla fine la responsabilità è dell'esecutivo.,OGG,SOG,Libero,https://www.liberoquotidiano.it/news/personaggi/26075319/guido-bertolaso-sostituto-domenico-arcuri-piano-vaccini-governo-idea-walter-ricciardi.html
21,22,"Certo, continuerò a sottolineare la necessità di un approccio diverso per la campagna.",SOG,SOG,Libero,https://www.liberoquotidiano.it/news/personaggi/26075319/guido-bertolaso-sostituto-domenico-arcuri-piano-vaccini-governo-idea-walter-ricciardi.html
21,23,Quello che più chiede a gran voce Ricciardi è un piano organizzato.,OGG,SOG,Libero,https://www.liberoquotidiano.it/news/personaggi/26075319/guido-bertolaso-sostituto-domenico-arcuri-piano-vaccini-governo-idea-walter-ricciardi.html
21,24,Esattamente quello che manca ora.,SOG,SOG,Libero,https://www.liberoquotidiano.it/news/personaggi/26075319/guido-bertolaso-sostituto-domenico-arcuri-piano-vaccini-governo-idea-walter-ricciardi.html
21,25,"E pensare che il commissario dai mille flop, Arcuri, sarebbe in lizza per entrare in un nuovo esecutivo.",SOG,SOG,Libero,https://www.liberoquotidiano.it/news/personaggi/26075319/guido-bertolaso-sostituto-domenico-arcuri-piano-vaccini-governo-idea-walter-ricciardi.html
21,26,Giuseppe Conte lo vorrebbe al suo fianco.,OGG,SOG,Libero,https://www.liberoquotidiano.it/news/personaggi/26075319/guido-bertolaso-sostituto-domenico-arcuri-piano-vaccini-governo-idea-walter-ricciardi.html
21,27,Magari  è l'ipotesi fatta circolare  al posto di Stefano Patuanelli al ministero dello Sviluppo economico.,OGG,SOG,Libero,https://www.liberoquotidiano.it/news/personaggi/26075319/guido-bertolaso-sostituto-domenico-arcuri-piano-vaccini-governo-idea-walter-ricciardi.html
21,28,"Ennesimo incarico che si va ad aggiungere ai numerosissimi ruoli che già ricopre l'amministratore delegato di Invitalia nonché commissario per l'emergenza coronavirus, commissario per la ripartenza della scuola, responsabile del piano vaccinale e dirigente d'azienda.",OGG,SOG,Libero,https://www.liberoquotidiano.it/news/personaggi/26075319/guido-bertolaso-sostituto-domenico-arcuri-piano-vaccini-governo-idea-walter-ricciardi.html
21,29,Insomma chi più ne ha più ne metta.,SOG,SOG,Libero,https://www.liberoquotidiano.it/news/personaggi/26075319/guido-bertolaso-sostituto-domenico-arcuri-piano-vaccini-governo-idea-walter-ricciardi.html
30,0,Recovery Plan e mercato del lavoro,OGG,SOG,Beppe Grillo,https://www.beppegrillo.it/recovery-plan-e-mercato-del-lavoro/
30,1,"Il Recovery Plan – che, piaccia o no, scolpisce l’Italia del 2027 – ha la mala sorte di essere commentato senza essere letto.",SOG,SOG,Beppe Grillo,https://www.beppegrillo.it/recovery-plan-e-mercato-del-lavoro/
30,2,"Eppure si tratta di 167 pagine scritte in buon italiano, con tabelle molto chiare, divise in sei parti ineludibili, le missioni, dedicate ad altrettanti temi suggeriti dall’Europa: digitalizzazione, innovazione, competitività e cultura;",SOG,SOG,Beppe Grillo,https://www.beppegrillo.it/recovery-plan-e-mercato-del-lavoro/
30,3,rivoluzione verde e transizione ecologica; infrastrutture per una mobilità sostenibile; istruzione e ricerca; inclusione e coesione; salute.,OGG,SOG,Beppe Grillo,https://www.beppegrillo.it/recovery-plan-e-mercato-del-lavoro/
30,4,"Si è detto che il Presidente Conte ha elaborato il Recovery Plan nel chiuso del suo studio, con una stretta consorteria di fedelissimi.",OGG,SOG,Beppe Grillo,https://www.beppegrillo.it/recovery-plan-e-mercato-del-lavoro/
30,5,Chi ha letto il documento e ne ha potuto valutare la complessità sa che ciò non è possibile.,SOG,SOG,Beppe Grillo,https://www.beppegrillo.it/recovery-plan-e-mercato-del-lavoro/
30,6,"In effetti, all’elaborazione del documento lavora da mesi una squadra di esperti del MEF che si è confrontata con tutte le parti sociali e alla quale confluiscono di giorno in giorno dossier, promemoria, proposte e critiche provenienti da ministeri, ordini professionali, sindacati e lobby.",OGG,SOG,Beppe Grillo,https://www.beppegrillo.it/recovery-plan-e-mercato-del-lavoro/
30,7,"Del resto, si tratta di allocare 219 miliardi, che poi sono 224 e, da qui al 2026, arriveranno a 312.",OGG,SOG,Beppe Grillo,https://www.beppegrillo.it/recovery-plan-e-mercato-del-lavoro/
30,8,"Francesco Giavazzi, sul Corriere del 2 settembre scorso ha scritto che",OGG,SOG,Beppe Grillo,https://www.beppegrillo.it/recovery-plan-e-mercato-del-lavoro/
30,9,"nell’elenco degli oltre 600 progetti che i ministeri hanno sottoposto al governo per i finanziamenti del Recovery fund, troverete solo cappotti termici, alta velocità e autostrade, più qualche investimento industriale proposto dalle aziende, dall’Ilva alla Fincantieri.",OGG,SOG,Beppe Grillo,https://www.beppegrillo.it/recovery-plan-e-mercato-del-lavoro/
30,10,"Niente riforme, né nella scuola, né all’università, né, ci mancherebbe, nel mercato del lavoro",SOG,SOG,Beppe Grillo,https://www.beppegrillo.it/recovery-plan-e-mercato-del-lavoro/
30,11,Nelle 167 pagine del Recovery Plan c’è ben più dei cappotti termici e dell’alta velocità.,SOG,SOG,Beppe Grillo,https://www.beppegrillo.it/recovery-plan-e-mercato-del-lavoro/
30,12,"Oltre a un elenco preciso delle fonti dalle quali il Piano ricava i suoi finanziamenti, vi è una descrizione dettagliata delle sei missioni raccomandate dall’Europa e, per ogni missione, vi sono le varie parti componenti.",OGG,SOG,Beppe Grillo,https://www.beppegrillo.it/recovery-plan-e-mercato-del-lavoro/
30,13,"Ad esempio, la missione che riguarda la digitalizzazione è distinta in Pubblica Amministrazione, imprese, turismo e cultura.",OGG,SOG,Beppe Grillo,https://www.beppegrillo.it/recovery-plan-e-mercato-del-lavoro/
30,14,"Le componenti sono 16 in tutto e, per ognuna, sono previsti gli specifici interventi concreti.",OGG,SOG,Beppe Grillo,https://www.beppegrillo.it/recovery-plan-e-mercato-del-lavoro/
30,15,"Per ognuna delle missioni, delle componenti e degli interventi, sono indicati i miliardi assegnati.",OGG,SOG,Beppe Grillo,https://www.beppegrillo.it/recovery-plan-e-mercato-del-lavoro/
30,16,"L’impianto del Piano è ciclopico come ciclopiche sono le sue ambizioni esplicite: portare l’Italia fuori da questa crisi epocale, sulla frontiera dello sviluppo europeo, facendone un Paese più moderno, verde e coeso.",SOG,SOG,Beppe Grillo,https://www.beppegrillo.it/recovery-plan-e-mercato-del-lavoro/
30,17,"I soldi per farlo ci sono, e ci sono anche i sei percorsi obbligati.",SOG,SOG,Beppe Grillo,https://www.beppegrillo.it/recovery-plan-e-mercato-del-lavoro/
30,18,"Si tratta, dunque, di un’occasione storica che, illuminata da quel grande specchio ustorio che è la pandemia, fornisce tutto il materiale didattico per condurre un grande dibattito, un grande seminario nazionale, una riflessione profonda sul nostro futuro e su quello – sempre evocato dai retori – dei nostri figli.",SOG,SOG,Beppe Grillo,https://www.beppegrillo.it/recovery-plan-e-mercato-del-lavoro/
30,19,"n un Paese serio, i media avrebbero fatto a gara per descrivere il Piano al loro pubblico, vivisezionarlo, analizzarne le conseguenze sulla vita delle città e delle persone.",SOG,SOG,Beppe Grillo,https://www.beppegrillo.it/recovery-plan-e-mercato-del-lavoro/
30,20,Ma le nostre serate sono già tutte assegnate a quiz televisivi e a grandi fratelli che non lasciano spazio alla riflessione sulla polis.,SOG,SOG,Beppe Grillo,https://www.beppegrillo.it/recovery-plan-e-mercato-del-lavoro/
30,21,"Se qualcosa del Piano si viene a sapere è solo perché di tanto in tanto, nei talk show televisivi, qualche commentatore ne brandisce sgangherate citazioni a sostegno di generiche accuse contro il Governo.",SOG,SOG,Beppe Grillo,https://www.beppegrillo.it/recovery-plan-e-mercato-del-lavoro/
30,22,"Dal coro di critici che accusano il Piano di avere obiettivi poco ambiziosi (come hanno scritto molti giornali) o di non avere un’anima (come ha detto Renzi), si stacca un giudizio tanto concreto quanto onesto di Enzo Cipolletta su InPiù:",OGG,SOG,Beppe Grillo,https://www.beppegrillo.it/recovery-plan-e-mercato-del-lavoro/
30,23,"Non sarà un piano esaltante, ma almeno riusciremo a spendere le risorse, ciò che darà comunque un contributo importante alla crescita.",SOG,SOG,Beppe Grillo,https://www.beppegrillo.it/recovery-plan-e-mercato-del-lavoro/
30,24,"Se poi si potrà fare di più e meglio, ben venga, ma non buttiamo a mare quello che già c’è.",SOG,SOG,Beppe Grillo,https://www.beppegrillo.it/recovery-plan-e-mercato-del-lavoro/
30,25,"Del resto, se si mette a confronto il Piano elaborato dal nostro Governo con quello francese o con quello alternativo contrapposto da Forza Italia, il primo giganteggia.",SOG,SOG,Beppe Grillo,https://www.beppegrillo.it/recovery-plan-e-mercato-del-lavoro/
30,26,"Ciò che io segnalerei agli estensori di questo Recovery Plan, e su cui essi, volendo, farebbero ancora in tempo a intervenire, è l’esigenza di un approccio più sistemico, che tenga in maggior conto ciò che avverrà nel mondo da qui al 2027.",SOG,SOG,Beppe Grillo,https://www.beppegrillo.it/recovery-plan-e-mercato-del-lavoro/
30,27,"Sappiamo per certo che i prossimi anni saranno segnati dall’ingegneria genetica con cui vinceremo molte malattie, dall’intelligenza artificiale con cui sostituiremo molto lavoro intellettuale, dalle nanotecnologie con cui gli oggetti si relazioneranno tra loro e con noi, dalle stampanti 3D con cui costruiremo in casa molti oggetti.",OGG,SOG,Beppe Grillo,https://www.beppegrillo.it/recovery-plan-e-mercato-del-lavoro/
30,28,"Tutto questo, insieme alla legge di Moore, per cui la potenza dei microprocessori raddoppia ogni 18 mesi, del riconoscimento vocale, delle piattaforme e della robotica, comporterà un jobless growth per cui, molto probabilmente, i posti di lavoro perduti saranno meno di quelli creati.",OGG,SOG,Beppe Grillo,https://www.beppegrillo.it/recovery-plan-e-mercato-del-lavoro/
30,29,"A quest’effetto del progresso tecnologico sul mercato del lavoro, che si manifesterà nel mediolungo termine, va aggiunto quello di medio termine dovuto allo sviluppo organizzativo.",OGG,SOG,Beppe Grillo,https://www.beppegrillo.it/recovery-plan-e-mercato-del-lavoro/
30,30,"Se, come pare plausibile, almeno 5 milioni di lavoratori resteranno in smart working anche dopo la pandemia, ciò determinerà un crollo dei consumi di abitazioni, di carburante, di mezzi di comunicazione e il licenziamento di migliaia di addetti alla guardiania e alle pulizie degli uffici, alle mense aziendali e ai negozi proliferati nelle zone direzionali.",OGG,SOG,Beppe Grillo,https://www.beppegrillo.it/recovery-plan-e-mercato-del-lavoro/
30,31,"Vi è, in fine, un effetto immediato della pandemia che, secondo le stime di Marco Leonardi, consigliere del ministro Gualtieri, nei prossimi mesi determinerà la chiusura di molte imprese e il licenziamento di 200250mila lavoratori.",OGG,SOG,Beppe Grillo,https://www.beppegrillo.it/recovery-plan-e-mercato-del-lavoro/
30,32,"Non c’è dubbio che gli investimenti in alcuni settori, come la rivoluzione verde e la transizione ecologica (cui sono assegnati 69,80 miliardi), l’istruzione e ricerca (28,49 miliardi), le politiche per il lavoro (12,62 miliardi) creeranno occupazione, ma c’è da chiedersi quanti posti di lavoro saranno distrutti dalla digitalizzazione, indispensabile ma comunque labour saving, delle imprese e della Pubblica Amministrazione (38,30 miliardi).",OGG,SOG,Beppe Grillo,https://www.beppegrillo.it/recovery-plan-e-mercato-del-lavoro/
30,33,"Un ragionamento analogo vale per la Sanità, cui vanno 19,72 miliardi.",OGG,SOG,Beppe Grillo,https://www.beppegrillo.it/recovery-plan-e-mercato-del-lavoro/
30,34,"Nella prima bozza del Piano gli stanziamenti previsti per questo settore erano minori, ma un coro di proteste si è levato sull’onda emotiva del Covid19 che ha messo in luce l’attuale scarsità di personale e di strutture sanitarie.",OGG,SOG,Beppe Grillo,https://www.beppegrillo.it/recovery-plan-e-mercato-del-lavoro/
30,35,"Ma è sbagliato tarare il fabbisogno futuro di queste risorse basandosi sul picco di una pandemia che, per fortuna, si ripete raramente.",SOG,SOG,Beppe Grillo,https://www.beppegrillo.it/recovery-plan-e-mercato-del-lavoro/
30,36,"Di sicuro l’Intelligenza Artificiale, di cui è prossimo l’uso massiccio nel lavoro diagnostico, nell’assegnazione delle terapie e perfino nella chirurgia a distanza, sostituirà migliaia di medici proprio negli anni in cui arriveranno sul mercato del lavoro le attuali matricole di Medicina.",OGG,SOG,Beppe Grillo,https://www.beppegrillo.it/recovery-plan-e-mercato-del-lavoro/
30,37,"Qualcosa di analogo vale anche per la teledidattica, capace di ridurre notevolmente il fabbisogno di insegnanti.",SOG,SOG,Beppe Grillo,https://www.beppegrillo.it/recovery-plan-e-mercato-del-lavoro/
30,38,"Sono questioni non da poco, tuttavia affrontabili con una visione, un’analisi e un intervento sistemici.",SOG,SOG,Beppe Grillo,https://www.beppegrillo.it/recovery-plan-e-mercato-del-lavoro/
32,0,"Altra domenica, altra settimana del Blog: la numero 147.",OGG,SOG,Beppe Grillo,https://www.beppegrillo.it/la-settimana-del-blog-147/
32,1,"Rivediamo insieme gli articoli di questi 7 giorni appena passati, eccoli:",OGG,SOG,Beppe Grillo,https://www.beppegrillo.it/la-settimana-del-blog-147/
32,2,"Durante la pandemia, i 10 uomini più ricchi del mondo hanno visto la loro ricchezza complessiva aumentare di 540 miliardi di dollari, con un aumento della disuguaglianza mai registrato prima.",OGG,SOG,Beppe Grillo,https://www.beppegrillo.it/la-settimana-del-blog-147/
32,3,"Questa crisi ha messo a nudo i problemi del nostro difettoso sistema economico globale in cui pochi ricchi prosperano, mentre milioni di persone lottano per sopravvivere.",SOG,SOG,Beppe Grillo,https://www.beppegrillo.it/la-settimana-del-blog-147/
32,4,"L’umanità ha un incredibile talento, un’enorme ricchezza e un’immaginazione infinita.",SOG,SOG,Beppe Grillo,https://www.beppegrillo.it/la-settimana-del-blog-147/
32,5,"Dobbiamo mettere queste risorse al lavoro per creare un’economia che benefici tutti, non solo i pochi privilegiati.",SOG,SOG,Beppe Grillo,https://www.beppegrillo.it/la-settimana-del-blog-147/
